title,description,youtube_url,category,difficulty,duration_minutes,tags,equipment,focus_areas
Long Toss Progression,Build arm strength and velocity through progressive distance throwing,https://youtube.com/watch?v=dQw4w9WgXcQ,mechanics,intermediate,15,throwing;arm-strength;velocity,baseball;partner,arm;shoulder;mechanics
Explosive Start Mechanics,Develop explosive first-step quickness for base running and fielding,https://youtube.com/watch?v=dQw4w9WgXcQ,speed,intermediate,10,speed;baserunning;explosiveness,cones;stopwatch,legs;acceleration;power
Rotational Power Training,Medicine ball exercises to build core rotation power for hitting,https://youtube.com/watch?v=dQw4w9WgXcQ,power,advanced,12,hitting;power;core,medicine-ball;partner,core;rotation;torso
Arm Circle Warmup,Dynamic warmup routine to prepare shoulder and rotator cuff for throwing,https://youtube.com/watch?v=dQw4w9WgXcQ,warmup,beginner,5,warmup;shoulder;mobility,none,shoulder;rotator-cuff;arm
Sprint Mechanics Drill,Improve running form and acceleration technique,https://youtube.com/watch?v=dQw4w9WgXcQ,speed,intermediate,8,speed;running;form,cones;timer,legs;form;technique
Batting Tee Work,Fundamental hitting mechanics practice with tee,https://youtube.com/watch?v=dQw4w9WgXcQ,mechanics,beginner,20,hitting;mechanics;fundamentals,tee;bat;balls,hands;swing;contact
Recovery Stretching,Post-throwing arm care and full body stretching routine,https://youtube.com/watch?v=dQw4w9WgXcQ,recovery,beginner,10,recovery;stretching;cooldown,mat;resistance-band,full-body;flexibility
Plyometric Box Jumps,Explosive lower body power development,https://youtube.com/watch?v=dQw4w9WgXcQ,power,advanced,15,plyometrics;power;explosiveness,plyometric-box,legs;glutes;power
Agility Ladder Drills,Footwork and coordination training,https://youtube.com/watch?v=dQw4w9WgXcQ,speed,intermediate,12,agility;footwork;coordination,agility-ladder,feet;coordination;quickness
Weighted Ball Throws,Velocity development through progressive overload,https://youtube.com/watch?v=dQw4w9WgXcQ,power,advanced,20,velocity;overload;arm-strength,weighted-balls;partner,arm;shoulder;velocity
Dynamic Stretching Routine,Pre-practice dynamic warm-up sequence,https://youtube.com/watch?v=dQw4w9WgXcQ,warmup,beginner,8,warmup;dynamic;mobility,none,full-body;mobility;activation
Outfield Fly Ball Tracking,Improve fly ball reads and routes,https://youtube.com/watch?v=dQw4w9WgXcQ,mechanics,intermediate,15,outfield;tracking;defense,baseballs;fungo-bat,eyes;footwork;angles
Infield Ground Ball Work,Proper fielding mechanics and footwork,https://youtube.com/watch?v=dQw4w9WgXcQ,mechanics,beginner,15,infield;fielding;defense,baseballs;glove,hands;footwork;fielding
Resistance Band Arm Care,Shoulder strengthening and injury prevention,https://youtube.com/watch?v=dQw4w9WgXcQ,recovery,beginner,12,arm-care;prevention;strength,resistance-bands,shoulder;rotator-cuff;stability
Lateral Movement Training,Side-to-side agility and defensive positioning,https://youtube.com/watch?v=dQw4w9WgXcQ,speed,intermediate,10,agility;defense;lateral,cones,hips;legs;movement